,SS3_mESC_p1_A1_S1,SS3_mESC_p1_E1_S5,SS3_mESC_p1_C3_S19,SS3_mESC_p1_F2_S14,SS3_mESC_p1_A3_S17,SS3_mESC_p1_G2_S15,SS3_mESC_p1_G1_S7,SS3_mESC_p1_C1_S3,SS3_mESC_p1_B1_S2,SS3_mESC_p1_D2_S12,SS3_mESC_p1_D1_S4,SS3_mESC_p1_A2_S9,SS3_mESC_p1_H1_S8,SS3_mESC_p1_E2_S13,SS3_mESC_p1_B2_S10,SS3_mESC_p1_C2_S11,SS3_mESC_p1_B3_S18,SS3_mESC_p1_H2_S16,SS3_mESC_p1_F1_S6,SS3_mESC_p1_E3_S21,SS3_mESC_p1_D3_S20,SS3_mESC_p1_G3_S23,SS3_mESC_p1_F3_S22,SS3_mESC_p1_D4_S28,SS3_mESC_p1_A4_S25,SS3_mESC_p1_C4_S27,SS3_mESC_p1_H3_S24,SS3_mESC_p1_F4_S30,SS3_mESC_p1_A5_S33,SS3_mESC_p1_E5_S37,SS3_mESC_p1_C5_S35,SS3_mESC_p1_G4_S31,SS3_mESC_p1_B4_S26,SS3_mESC_p1_D5_S36,SS3_mESC_p1_B5_S34,SS3_mESC_p1_H4_S32,SS3_mESC_p1_F5_S38,SS3_mESC_p1_E4_S29,SS3_mESC_p1_G5_S39,SS3_mESC_p1_H5_S40,SS3_mESC_p1_B6_S42,SS3_mESC_p1_F7_S54,SS3_mESC_p1_A6_S41,SS3_mESC_p1_D6_S44,SS3_mESC_p1_G6_S47,SS3_mESC_p1_H6_S48,SS3_mESC_p1_E6_S45,SS3_mESC_p1_C6_S43,SS3_mESC_p1_B7_S50,SS3_mESC_p1_C7_S51,SS3_mESC_p1_A7_S49,SS3_mESC_p1_F6_S46,SS3_mESC_p1_D7_S52,SS3_mESC_p1_E7_S53,SS3_mESC_p1_G7_S55,SS3_mESC_p1_H7_S56,SS3_mESC_p1_A8_S57,SS3_mESC_p1_B8_S58,SS3_mESC_p1_C8_S59,SS3_mESC_p1_D8_S60,SS3_mESC_p1_E8_S61,SS3_mESC_p1_F8_S62,SS3_mESC_p1_A9_S65,SS3_mESC_p1_D9_S68,SS3_mESC_p1_H9_S72,SS3_mESC_p1_B9_S66,SS3_mESC_p1_F9_S70,SS3_mESC_p1_A10_S73,SS3_mESC_p1_G9_S71,SS3_mESC_p1_G8_S63,SS3_mESC_p1_H8_S64,SS3_mESC_p1_C9_S67,SS3_mESC_p1_E9_S69,SS3_mESC_p1_B10_S74,SS3_mESC_p1_G10_S79,SS3_mESC_p1_D10_S76,SS3_mESC_p1_C10_S75,SS3_mESC_p1_H10_S80,SS3_mESC_p1_E10_S77,SS3_mESC_p1_F10_S78,SS3_mESC_p1_B11_S82,SS3_mESC_p1_C11_S83,SS3_mESC_p1_A11_S81,SS3_mESC_p1_D11_S84,SS3_mESC_p1_E11_S85,SS3_mESC_p1_F11_S86,SS3_mESC_p1_H11_S88,SS3_mESC_p1_A12_S89,SS3_mESC_p1_G11_S87,SS3_mESC_p1_C12_S91,SS3_mESC_p1_D12_S92,SS3_mESC_p1_B12_S90,SS3_mESC_p1_E12_S93,SS3_mESC_p1_F12_S94
0610005C13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0610007P14Rik,3,0,4,1,0,3,0,3,0,2,5,1,0,0,3,1,0,2,4,1,1,5,1,0,2,0,0,7,1,,1,2,1,1,0,3,0,1,0,0,2,0,1,1,2,1,0,5,0,0,1,2,1,2,3,2,0,5,5,1,1,0,0,2,1,7,1,0,0,1,1,1,9,10,0,1,6,3,,1,2,4,1,1,1,0,2,0,6,6,4,0,1,1
0610009B22Rik,2,5,0,1,7,0,0,3,0,3,2,2,2,5,4,0,1,5,6,1,0,3,4,3,2,,2,9,1,0,1,3,6,9,0,5,8,5,7,2,0,2,1,1,7,5,0,3,4,5,0,5,1,10,1,8,7,12,0,1,5,6,3,0,0,4,0,4,1,0,0,2,8,2,0,0,4,14,1,10,1,1,5,2,1,0,4,7,4,0,0,0,3,0
0610009O20Rik,1,0,0,1,0,1,0,1,1,0,1,0,0,2,0,0,0,1,3,1,2,0,0,0,2,0,0,1,2,0,0,1,2,2,0,1,1,2,2,2,1,2,1,0,0,0,2,1,4,0,0,0,2,0,0,3,0,1,0,0,2,2,0,3,,0,0,2,0,,0,1,3,3,2,2,0,1,0,1,0,1,0,3,1,2,0,0,0,,1,0,0,0
0610010F05Rik,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,,1,2,0,0,0,0,3,0,0,0,0,,,1,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,,0,0,0
0610012G03Rik,,5,,,,,,0,,,,,,10,,,0,,,,,,,,,,,,,,8,,0,,,,,,0,,,,,,10,,,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
0610031J06Rik,1,1,9,2,5,5,2,3,5,5,3,4,5,6,4,10,5,2,3,3,6,6,9,5,5,1,5,3,10,2,7,2,0,15,7,1,7,10,9,6,11,2,6,3,13,7,3,13,5,6,1,2,10,2,3,9,2,5,2,1,2,4,7,4,3,12,5,4,3,5,1,3,5,9,3,9,5,4,4,7,6,11,8,5,4,4,7,7,6,2,7,3,11,8
0610037L13Rik,0,1,,1,0,1,1,1,0,2,1,1,1,0,0,1,0,1,2,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,3,1,0,1,1,1,0,0,1,3,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,2,1,1,1,1,2,1,2,1,0,1,1,6,1,1,0,1,0,1,1,1,0,0,1,1,0,1,4,1
1110001J03Rik,0,0,1,0,0,1,1,0,3,1,2,5,1,2,11,2,1,2,1,0,6,0,2,2,1,1,1,3,3,0,5,0,2,3,1,0,1,8,0,4,1,1,6,1,1,0,1,2,3,2,1,5,1,0,2,3,0,1,1,1,3,4,1,0,3,2,1,0,0,1,4,1,3,5,1,1,1,2,1,1,2,5,1,1,1,1,1,1,2,1,1,1,0,0
1110002L01Rik,0,0,,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0
1110004E09Rik,0,0,2,,0,,,0,1,6,2,8,0,6,0,0,3,2,7,,0,4,,4,6,,,,0,0,,0,,0,3,3,1,8,3,4,0,0,0,1,,2,5,,4,0,5,0,6,3,,3,6,0,2,4,2,6,0,1,3,5,,,1,,12,0,1,0,1,4,,8,0,1,0,0,0,0,5,0,4,1,,0,,,0,2
1110006O24Rik,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
1110007C09Rik,0,0,0,0,0,,0,0,0,0,,0,0,,4,9,0,1,0,0,0,0,,0,0,0,0,,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,,0,0,2,3,2,0,0,0,0,0,0,0,0,12,1,1,2,0,0,7,0,2,0,0,0,0,,0,0,1,0,0,0,5,5,,0,,0,5,0,0,3,4,2,0,0,0
1110008L16Rik,4,0,1,0,0,4,2,5,1,5,5,0,0,9,0,3,3,2,2,0,7,0,0,0,1,0,3,2,3,3,0,1,0,2,1,2,1,4,4,0,4,0,1,0,2,4,5,1,3,2,0,4,8,1,3,2,2,0,0,6,6,9,0,1,2,12,0,4,3,8,1,5,0,5,1,7,1,3,2,7,1,1,2,0,0,0,2,0,0,0,0,5,4,1
1110012L19Rik,2,0,0,0,1,5,0,1,2,2,1,,0,1,0,0,6,0,0,0,5,0,0,0,1,0,0,1,0,0,1,2,1,2,1,6,1,3,1,2,1,1,0,1,2,0,1,1,5,1,0,3,1,1,0,8,2,0,2,1,1,0,1,1,,1,1,7,5,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,10,0,1,1,5,0,1,0,6,0
1110020A21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1110034G24Rik,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,2,0,1,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,1,1,0,0,2,1,0,0,2,1,0,1,0,1,1,0
1110037F02Rik,0,1,2,2,2,0,0,0,2,3,5,3,0,1,5,1,3,0,1,0,3,0,1,0,1,0,0,3,2,1,3,3,4,2,0,5,7,2,6,0,1,0,2,2,1,0,4,0,0,0,0,3,4,6,1,5,4,1,5,3,0,1,2,0,3,0,1,0,0,2,6,6,3,2,1,2,4,0,0,1,1,1,0,5,12,0,0,0,0,0,3,,1,0
1110038B12Rik,4,2,1,2,0,1,1,4,11,8,5,7,2,3,1,1,1,5,8,3,5,2,1,5,7,2,1,4,9,2,6,8,1,16,1,4,1,9,2,0,4,2,1,3,1,0,4,1,5,3,5,8,4,10,7,1,8,4,5,5,11,3,2,2,3,6,5,16,1,4,3,8,4,12,0,4,2,1,0,4,6,3,0,0,3,1,3,0,2,11,3,0,8,4
1110038F14Rik,0,1,1,0,0,2,0,1,13,0,0,1,1,2,0,1,2,2,2,2,3,1,0,1,4,0,0,5,0,1,3,4,0,2,3,1,6,9,,1,1,0,0,0,0,0,3,5,0,6,9,5,2,1,1,0,1,1,0,0,10,2,0,1,3,0,0,3,0,2,1,1,6,0,1,1,1,3,2,7,4,0,2,5,4,2,5,0,0,7,0,6,0,4
1110051M20Rik,3,0,0,,0,0,0,3,1,0,0,0,,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,1,,0,0,0,,0,4,3,0,0,3,,0,2,0,,0,2,,0,4,0,1,1,0,0,0,,5,0,,,1,0,0,1,0,0,0,,0,2,,0,0,3,0,0,0,0,,0,,0,0,,,6,0,0
1110054M08Rik,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110057K04Rik,0,8,0,0,1,0,2,3,0,1,1,0,0,1,0,1,0,0,6,0,0,1,3,0,0,0,0,1,1,4,0,1,0,1,0,8,0,0,1,0,0,0,0,0,4,0,1,0,0,7,0,1,0,0,0,,0,5,0,1,1,0,1,1,0,4,1,0,0,0,0,2,1,0,1,2,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2
1110058L19Rik,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,4,0,1,0,0,0,0,2,2,0,0,0,0,0,4,0,1,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,1,1,0,3,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,5,0
1110059E24Rik,0,0,0,0,1,2,0,4,2,0,4,0,1,2,4,1,0,3,6,0,2,2,0,0,0,0,3,3,0,5,1,3,2,0,0,0,4,0,1,0,2,1,4,1,2,0,1,0,2,2,2,2,4,0,1,0,0,2,2,1,4,0,1,0,2,7,7,3,0,0,3,0,7,3,0,1,,1,3,1,2,2,1,0,1,0,3,1,0,0,3,3,0,2
1110059G10Rik,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,0,2,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,6,,,0,,,0,0,0,0,0,0,0,0,1,,0,4,0,0,0,,0,0,,,0,0,0,0,0,0,,0
1190002N15Rik,0,1,0,0,0,1,0,3,1,0,1,3,1,,0,0,0,0,0,1,0,0,1,4,,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,,1,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0
1190005I06Rik,0,,0,0,0,1,0,0,5,2,1,0,0,1,0,0,1,0,1,5,2,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,2,2,0,1,2,0,0,0,0,1,1,2,0,0,0,0,2,0,0
1190007I07Rik,0,7,1,1,1,2,1,2,2,0,1,0,0,1,1,0,1,3,1,2,1,1,0,1,0,0,0,5,0,2,2,1,0,3,2,0,0,0,3,0,0,1,0,2,3,1,0,0,0,0,4,0,1,1,0,0,1,0,2,4,0,2,1,1,0,3,1,0,0,1,2,3,2,1,2,1,1,2,0,3,0,0,0,1,6,2,0,0,1,1,2,0,0,1
1300002E11Rik,0,0,0,2,0,1,1,1,,6,,1,1,0,0,0,0,0,2,1,0,2,,0,1,0,0,1,0,1,1,0,1,1,0,0,1,2,5,3,2,2,3,0,6,0,1,1,,7,0,3,1,0,2,0,1,1,1,0,4,0,1,0,6,2,1,0,2,4,0,1,0,5,1,1,3,4,1,4,0,1,0,0,0,0,0,0,3,0,7,0,1,0
1300002K09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1300017J02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500004A13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1500009C09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500009L16Rik,0,2,0,0,0,2,0,1,0,0,0,7,0,3,0,1,3,1,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,4,2,0,0,6,3,2,0,0,1,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,,0,0,0,2,1,0,0,0,0,2,0,0,0,2,3,0,0,0,1,1,2,0,0,0,0,0,0,1,3,0,0,2,2,2,2
1500011B03Rik,1,1,0,1,0,0,0,0,0,4,2,1,0,1,3,1,0,0,0,3,0,2,0,1,1,0,0,1,1,1,6,1,,0,1,0,1,8,0,1,1,0,0,0,0,0,0,0,2,0,4,5,10,3,0,0,0,5,0,0,0,2,0,0,4,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
1500012F01Rik,0,7,5,8,12,5,2,2,8,5,3,0,4,7,1,1,0,5,10,2,6,8,0,2,8,,4,7,13,1,6,3,5,8,2,9,4,3,1,1,5,0,4,6,1,,6,6,6,3,2,10,4,1,1,7,9,2,3,9,8,3,15,1,5,6,9,1,0,7,1,5,14,3,7,1,11,4,6,3,6,11,3,1,9,10,2,0,6,,0,6,7,2
1500015A07Rik,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,2
1600012H06Rik,0,,0,1,0,,0,0,1,0,0,0,2,,0,1,0,0,,2,,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,3,4,0,0,1,,0,,0,,0,0,1,0,,0,11,0,0,0,0,0,0,,0,,1,0,0,0,0,0,,3,1,1,,0,,0,3,0,1,0,,0,0,0,,
1600014C10Rik,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0
1600020E01Rik,2,0,0,0,0,,0,0,1,5,0,2,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,1,1,3,2,0,,1,1,2,0,7,1,,0,0,2,0,2,1,0,0,0,6,2,2,4,1,2,1,0,3,0,,3,0,0,0,4,2,4,4,3,4,1,0,4,0,2,4,1,0,1,0,0,2,0,0,2,1,4,0,3,1,0,,0,0
1700001G11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001L05Rik,,0,2,0,0,0,1,10,4,0,5,2,0,0,0,3,0,0,6,0,,1,0,3,0,0,2,2,1,,7,0,0,1,0,0,0,,0,4,1,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,3,1,,0,3,7,,7,4,,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,,,0,3
1700003E16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700009P17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010I14Rik,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012D14Rik,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,1,1,6,0,0,,,0,4,0,0,0,1,0,3,,0,0,,0,,,,0,2,0,2,,0,1,,,0,,0,4,0,1,0,2,0,,0,,,1,0,2,0,0,0,0,0,0,,5,0,,,2,,6,0,0,,6,0,1,0,,,3,3,,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,,3
1700019D03Rik,1,1,0,1,1,1,1,1,0,1,1,4,0,0,0,1,0,2,0,,2,2,0,5,0,,6,2,4,,0,0,7,1,1,,0,3,1,1,2,1,1,0,5,0,2,9,1,1,1,1,2,0,1,0,1,1,1,2,2,1,0,0,1,0,0,4,0,2,1,2,0,1,1,1,3,1,5,1,0,1,,1,4,4,0,7,1,,1,0,0,0
1700020I14Rik,0,5,0,1,0,2,1,2,1,3,0,2,2,3,9,6,3,0,2,1,1,0,0,0,0,0,1,2,1,,3,1,0,0,0,2,1,13,1,4,2,1,0,0,1,1,7,1,0,0,2,0,2,3,,0,2,2,1,0,2,5,0,0,2,4,0,1,0,0,1,0,4,5,4,,5,5,0,7,0,0,0,1,0,0,3,0,3,0,4,,,2
1700021F05Rik,3,4,0,4,0,1,4,3,1,4,2,2,4,6,0,9,4,2,12,0,1,1,0,0,2,0,2,4,0,0,6,4,2,11,2,2,0,1,4,2,0,0,0,0,0,1,9,3,6,10,5,1,4,5,0,,1,0,2,3,2,4,0,2,2,6,0,5,0,10,1,1,9,7,4,1,4,4,1,3,0,4,0,0,4,0,11,1,8,1,0,0,0,0
1700021K19Rik,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,,0,0,1,1,1,1,0,1,,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
1700025G04Rik,0,3,0,1,0,0,0,0,2,0,0,0,1,0,0,2,1,0,4,1,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,1,0,3,0,0,0,0,0,0,0,,0,5,0,2,2,3,0,0,0,0,,0,1,0,0,3,0,5,2,0,4,0,0,0,0,0,0,1,1,0,0,7,0,1,1,0,0,0,0,1,0,2,,0,0,0,3
1700026L06Rik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700028I16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700028J19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700028K03Rik,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700029J07Rik,,0,,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700030C10Rik,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,0,0,,0,,0,,,,0,,,,,,0,,,0,,,,,,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,,0,,0,,,,0,,0,,0,,,,0,0,0,,0,0,0,0,0,,3,0,0,
1700030J22Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700030K09Rik,,0,0,0,0,0,0,0,,0,0,0,0,,1,,0,,,0,0,0,0,0,2,0,,,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,0,,1,0,7,0,0,0,,0,0,0,,0,2,,0,0,,0,1,0,,2,,0,1,0,4,0,0,0,,4,0,0,,0,0,0,0,,0,0,3,3,4
1700034F02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700034P13Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
