,SS3_mESC_p1_A1_S1,SS3_mESC_p1_E1_S5,SS3_mESC_p1_C3_S19,SS3_mESC_p1_F2_S14,SS3_mESC_p1_A3_S17,SS3_mESC_p1_G2_S15,SS3_mESC_p1_G1_S7,SS3_mESC_p1_C1_S3,SS3_mESC_p1_B1_S2,SS3_mESC_p1_D2_S12,SS3_mESC_p1_D1_S4,SS3_mESC_p1_A2_S9,SS3_mESC_p1_H1_S8,SS3_mESC_p1_E2_S13,SS3_mESC_p1_B2_S10,SS3_mESC_p1_C2_S11,SS3_mESC_p1_B3_S18,SS3_mESC_p1_H2_S16,SS3_mESC_p1_F1_S6,SS3_mESC_p1_E3_S21,SS3_mESC_p1_D3_S20,SS3_mESC_p1_G3_S23,SS3_mESC_p1_F3_S22,SS3_mESC_p1_D4_S28,SS3_mESC_p1_A4_S25,SS3_mESC_p1_C4_S27,SS3_mESC_p1_H3_S24,SS3_mESC_p1_F4_S30,SS3_mESC_p1_A5_S33,SS3_mESC_p1_E5_S37,SS3_mESC_p1_C5_S35,SS3_mESC_p1_G4_S31,SS3_mESC_p1_B4_S26,SS3_mESC_p1_D5_S36,SS3_mESC_p1_B5_S34,SS3_mESC_p1_H4_S32,SS3_mESC_p1_F5_S38,SS3_mESC_p1_E4_S29,SS3_mESC_p1_G5_S39,SS3_mESC_p1_H5_S40,SS3_mESC_p1_B6_S42,SS3_mESC_p1_F7_S54,SS3_mESC_p1_A6_S41,SS3_mESC_p1_D6_S44,SS3_mESC_p1_G6_S47,SS3_mESC_p1_H6_S48,SS3_mESC_p1_E6_S45,SS3_mESC_p1_C6_S43,SS3_mESC_p1_B7_S50,SS3_mESC_p1_C7_S51,SS3_mESC_p1_A7_S49,SS3_mESC_p1_F6_S46,SS3_mESC_p1_D7_S52,SS3_mESC_p1_E7_S53,SS3_mESC_p1_G7_S55,SS3_mESC_p1_H7_S56,SS3_mESC_p1_A8_S57,SS3_mESC_p1_B8_S58,SS3_mESC_p1_C8_S59,SS3_mESC_p1_D8_S60,SS3_mESC_p1_E8_S61,SS3_mESC_p1_F8_S62,SS3_mESC_p1_A9_S65,SS3_mESC_p1_D9_S68,SS3_mESC_p1_H9_S72,SS3_mESC_p1_B9_S66,SS3_mESC_p1_F9_S70,SS3_mESC_p1_A10_S73,SS3_mESC_p1_G9_S71,SS3_mESC_p1_G8_S63,SS3_mESC_p1_H8_S64,SS3_mESC_p1_C9_S67,SS3_mESC_p1_E9_S69,SS3_mESC_p1_B10_S74,SS3_mESC_p1_G10_S79,SS3_mESC_p1_D10_S76,SS3_mESC_p1_C10_S75,SS3_mESC_p1_H10_S80,SS3_mESC_p1_E10_S77,SS3_mESC_p1_F10_S78,SS3_mESC_p1_B11_S82,SS3_mESC_p1_C11_S83,SS3_mESC_p1_A11_S81,SS3_mESC_p1_D11_S84,SS3_mESC_p1_E11_S85,SS3_mESC_p1_F11_S86,SS3_mESC_p1_H11_S88,SS3_mESC_p1_A12_S89,SS3_mESC_p1_G11_S87,SS3_mESC_p1_C12_S91,SS3_mESC_p1_D12_S92,SS3_mESC_p1_B12_S90,SS3_mESC_p1_E12_S93,SS3_mESC_p1_F12_S94
Bsdc1,1,,2,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,3,,0,0,1,2,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,0,0,,1,,0,1,3,1,1,0,1,0,1,0,1,,,0,2,1,0,1,0,1,,1,0,0,0,1,1,3,0,0,0,0,,0,1,1,0,3,0,0,0,1,0,0,0
Bsg,11,23,30,23,20,15,19,20,34,31,21,18,10,29,22,23,6,23,23,24,30,26,10,14,33,0,9,37,19,14,38,19,32,30,6,29,11,44,25,25,10,19,20,20,12,32,35,42,40,34,24,27,22,56,13,9,19,13,18,66,43,12,19,18,33,49,23,36,15,18,19,33,53,23,9,48,18,62,17,15,22,48,8,22,32,11,30,28,34,33,17,15,18,0
Bsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bst2,0,0,0,1,0,1,0,2,,2,0,3,0,4,6,0,0,3,0,2,0,0,0,3,0,0,0,5,0,0,0,1,0,1,1,0,0,1,1,3,0,2,4,,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,0,0,1,0,2,6,1,0,3,0,0,0,2,1,1,0,2,,,0,0,3,2,,1,0,1,0,0,2
Btaf1,0,0,0,0,2,1,1,0,1,4,1,0,0,0,5,,0,4,0,0,,2,0,0,2,0,1,1,1,0,0,0,0,1,3,3,2,2,2,1,0,1,1,,0,0,5,1,4,0,0,6,2,2,0,1,0,0,2,1,1,4,0,3,5,0,0,2,1,0,0,1,3,1,1,5,1,2,0,1,0,5,1,0,3,0,0,,3,0,4,2,0,2
Btbd1,0,0,,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,,0,0,0,1,0,2,3,0,,0,0,1,0,0,0,0,0,0,0,0,,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
Btbd10,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,2,0,1,0,0,3,0,0,3,1,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,,2,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,2,0,0,2,1,0,0,0,0,1,0,1,0,0,2,0,0,1,1,1,0,1,0,2,0,0,0,,1,0,0,0,0
Btbd11,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
Btbd19,2,5,0,0,,2,2,0,0,0,0,0,,0,4,0,3,1,1,1,2,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,1,0,1,2,0,0,0,2,1,0,0,1,1,2,4,0,,3,0,0,3,,1,1,,0,0,0,0,0,1,0,0,,0,,0,,2,0,4,0,1,1,0,1
Btbd2,0,0,1,0,0,2,0,1,0,1,1,2,1,2,0,0,,1,1,1,0,0,2,1,0,0,2,0,2,1,1,3,2,1,0,1,0,6,3,2,1,,0,0,0,5,0,0,0,0,0,2,3,4,7,0,0,6,0,1,2,1,0,1,1,0,1,0,1,4,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,2,2,7,3,0,0,0,0
