,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140,mu_141,mu_142,mu_143,mu_144,mu_145,mu_146,mu_147,mu_148,mu_149,mu_150,mu_151,mu_152,mu_153
2802,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,[1],"[0.6119897959183674, 0.9670696123384742, 'optimal', 'optimal']","[0.4000375515660265, 1.0, 'optimal', 'optimal']","[0.0, 0.5999624484339736, 'optimal', 'optimal']","[0.0, 0.3367476435800357, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,[1],"[0.8899297423887594, 1.2982456140350878, 'optimal', 'optimal']","[0.6465860597439554, 1.0, 'optimal', 'optimal']","[0.0, 0.35341394025604467, 'optimal', 'optimal']","[0.0, 0.35341394025604467, 'optimal', 'optimal']","[0.0, 0.35341394025604467, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,[1],"[1.3892418466751384, 2.919594594594594, 'optimal', 'optimal']","[0.15332411791564773, 1.0, 'optimal', 'optimal']","[0.0, 0.8043916554296238, 'optimal', 'optimal']","[0.0, 0.8466758820843523, 'optimal', 'optimal']","[0.0, 0.8466758820843523, 'optimal', 'optimal']","[0.0, 0.8466758820843523, 'optimal', 'optimal']","[0.0, 0.8466758820843523, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,[1],"[2.0967741935483875, 3.6904761904761902, 'optimal', 'optimal']","[0.0, 0.444665012406948, 'optimal', 'optimal']","[0.0, 0.6297766749379654, 'optimal', 'optimal']","[0.0, 0.6782464846980978, 'optimal', 'optimal']","[0.0, 0.7347670250896058, 'optimal', 'optimal']","[0.0, 0.8442004118050792, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,[1],"[0.861111111111111, 1.78, 'optimal', 'optimal']","[0.0, 0.7724014336917564, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.9938486621142906, 'optimal', 'optimal']","[0.0, 0.9166654875755962, 'optimal', 'optimal']","[0.0, 0.8619844878099437, 'optimal', 'optimal']","[0.0, 0.8230307263290632, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,[1],"[1.3076923076923077, 2.7386904761904756, 'optimal', 'optimal']","[0.0, 0.6877828054298643, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,[1],"[1.2674107142857145, 2.9393939393939394, 'optimal', 'optimal']","[0.18869103405185889, 0.9294117647058825, 'optimal', 'optimal']","[0.0, 0.22266026658686455, 'optimal', 'optimal']","[0.0, 0.3261867026187988, 'optimal', 'optimal']","[0.0, 0.8113089659481412, 'optimal', 'optimal']","[0.0, 0.8113089659481412, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
