,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140
0,[1],"[0.8500000049523923, 1.0]","[0.0, 0.8526327196449442]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[1],"[0.40445512692749974, 1.0]","[0.0, 0.5633269564194385]","[0.0, 0.5246923401572734]","[0.0, 0.5944591212079537]","[0.0, 0.7220873278727636]","[0.0, 0.7579884731403278]","[0.0, 0.8327278066810535]","[0.0, 0.9032807822263877]","[0.0, 0.9348332308828681]","[0.0, 0.9591185320283144]","[0.0, 0.9769523125717334]","[0.0, 0.7226962815782069]","[0.0, 0.797433251283694]","[0.0, 0.7941072129628564]","[0.0, 0.6337527223480017]","[0.0, 0.5382429545356419]","[0.0, 0.4793403163081703]","[0.0, 0.4382216155428041]","[0.0, 0.40859595395638026]","[0.0, 0.3862579180797137]","[0.0, 0.3687185103950334]","[0.0, 0.3539941430724738]","[0.0, 0.341944393327301]","[0.0, 0.33247971509832525]","[0.0, 0.3251423818599003]","[0.0, 0.31956724126765823]","[0.0, 0.3154486252119888]","[0.0, 0.3124992973094262]","[0.0, 0.3104885628735232]","[0.0, 0.3092247814954489]","[0.0, 0.30854115926736214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,[1],"[1.8181818231343803, 1.0]","[0.0, 0.42839636570128137]","[0.0, 0.540669213693742]","[0.0, 0.6808414968151427]","[0.0, 0.815579310468475]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9999908077341647]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,[1],"[1.563380851472017, 1.0]","[0.48637182865779693, 0.8816370375591983]","[0.0, 0.3628735178021955]","[0.0, 0.48310566705731606]","[0.0, 0.4606636609246195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,[1],"[1.0365571544214243, 1.0]","[0.0, 0.7562323672807402]","[0.0, 0.8007983669037276]","[0.0, 0.9584714041410664]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,[1],"[0.8496618063508787, 1.0]","[0.0, 0.6232720347342319]","[0.0, 0.6413905614347792]","[0.0, 0.9840712768971175]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9642925997994237]","[0.0, 0.7814643706554123]","[0.0, 0.6226389379751852]","[0.0, 0.6126193612187057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,[1],"[1.3620689704686115, 1.0]","[0.0, 0.7351339571488211]","[0.0, 0.9171356603875135]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.8407230543370892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,[1],"[3.5000000049833115, 1.0]","[0.0, 0.738837786305347]","[0.0, 0.7993582755028583]","[0.0, 0.9629868426981418]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,[1],"[0.714107256624127, 1.0]","[0.0, 0.7681047547221114]","[0.0, 0.7628593367575278]","[0.0, 0.9301530169311125]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,[1],"[1.6094958384771014, 1.0]","[0.4440367625388023, 0.8734665734525541]","[0.0, 0.3850322875704385]","[0.0, 0.5559630639822573]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,[1],"[1.804347831038743, 1.0]","[0.0, 0.4958145170810058]","[0.0, 0.5564176350733241]","[0.0, 0.9262415960476044]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,[1],"[2.587500004952972, 1.0]","[0.0, 0.3008713923984684]","[0.0, 0.35368127835297813]","[0.0, 0.4258504272645029]","[0.0, 0.5427674072328948]","[0.0, 0.7944855104422561]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,[1],"[1.2878787928301514, 1.0]","[0.0, 0.9382457971155658]","[0.0, 1.0]","[0.0, 0.8576477282678302]","[0.0, 0.8576476954965747]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,[1],"[2.722222227175513, 1.0]","[0.0, 0.09095804999571716]","[0.0, 0.7018260455130495]","[0.0, 0.8964019044134937]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,[1],"[1.7550000049519896, 1.0]","[0.0, 0.6184986844767651]","[0.0, 0.7313403372580692]","[0.0, 0.977271778409184]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,[1],"[1.6590909140694121, 1.0]","[0.0, 0.42092154420921524]","[0.0, 0.8859777120397406]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,[1],"[0.853658541536845, 1.0]","[0.0, 0.6633946295078154]","[0.0, 0.8626196373576553]","[0.0, 0.9676050124067702]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9852008315441534]","[0.0, 0.8660189568411579]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,[1],"[0.5240837904332347, 1.0]","[0.0, 0.7014233161226633]","[0.0, 0.7902063248184391]","[0.0, 0.9042312824678191]","[0.0, 0.9652948715543335]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.8845974825642537]","[0.0, 0.8845972361860871]","[0.0, 0.8845969291191509]","[0.0, 0.8845974375690813]","[0.0, 0.8845969288749702]","[0.0, 0.8845970242733644]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,[1],"[1.6465686324023787, 1.0]","[0.0, 0.8063594144197502]","[0.0, 0.887707003693544]","[0.0, 0.8879374607684334]","[0.0, 0.9215230167993503]","[0.0, 0.900933617870371]","[0.0, 0.9671617710757268]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,[1],"[0.6116438633022864, 1.0]","[0.0, 0.7708832690468946]","[0.0, 0.8093751265570986]","[0.0, 0.9571588064855221]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9777100162384035]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,[1],"[0.8277779896989045, 1.0]","[0.0, 0.8342944116031986]","[0.0, 0.8825646624931283]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9806805490254139]","[0.0, 0.8671050580859402]","[0.0, 0.8291776521731906]","[0.0, 0.7775299844878856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,[1],"[0.7875758092861853, 1.0]","[0.0, 0.7809823331357688]","[0.0, 0.8558455127217157]","[0.0, 0.9347222465926345]","[0.0, 0.9420316954182412]","[0.0, 0.9689717120224212]","[0.0, 0.8735567019987602]","[0.0, 0.6460149003891692]","[0.0, 0.6460150636471644]","[0.0, 0.5984871152613574]","[0.0, 0.5671762551898231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,[1],"[0.515345788353394, 1.0]","[0.0, 0.6213905858876001]","[0.0, 0.7196102482978263]","[0.0, 0.8820621832796625]","[0.0, 0.9545502422168729]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,[1],"[1.1085572927360963, 1.0]","[0.22964337250051534, 0.9340378916765513]","[0.0, 0.6845781194140752]","[0.0, 0.7703566274994846]","[0.0, 0.636771226286053]","[0.0, 0.5732788937284694]","[0.0, 0.5276575774022216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,[1],"[0.1242894532176383, 1.0]","[0.0, 0.9464985724250532]","[0.0, 0.9324355507044437]","[0.0, 0.93201069777201]","[0.0, 0.9357663897417956]","[0.0, 0.953596068647663]","[0.0, 0.9883030228121485]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,[1],"[1.5082993407911853, 1.0]","[0.7095237438567723, 0.9402716021642079]","[0.0, 0.2317298609401004]","[0.0, 0.2849434379455406]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,[1],"[3.1200000049541137, 1.0]","[0.0, 0.11304903900100065]","[0.0, 0.13355131548776447]","[0.0, 0.15811957704907284]","[0.0, 0.19436746689530443]","[0.0, 0.26912428624009826]","[0.0, 0.7351636532320643]","[0.0, 0.8206499082162558]","[0.0, 0.935288555970858]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,[1],"[0.8936170262281458, 1.0]","[0.0, 0.7321561723289257]","[0.0, 0.8477627434357368]","[0.0, 0.9649518943291487]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.984588295974908]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,[1],"[1.000000004952794, 1.0]","[0.0, 0.7132447129534113]","[0.0, 0.8224444106916845]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,[1],"[1.7826087006380258, 1.0]","[0.0, 0.6130511316907459]","[0.0, 0.8598597776118112]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,[1],"[0.3648803194192696, 1.0]","[0.0, 0.8780951080270263]","[0.0, 0.8618217686914028]","[0.0, 0.8468362400906604]","[0.0, 0.8457238952842195]","[0.0, 0.8706751884402546]","[0.0, 0.9256185104679828]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,[1],"[1.5411458383149752, 1.0]","[0.0, 0.3572011940971047]","[0.0, 0.9109624828389891]","[0.0, 1.0]","[0.0, 0.8972961312913058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,[1],"[2.145454550440789, 1.0]","[0.0, 0.8713198357272905]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,[1],"[0.3365463345016388, 1.0]","[0.0, 0.8751333226069166]","[0.0, 0.9172293549220085]","[0.0, 0.9757120378208093]","[0.0, 0.9981615497977132]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,[1],"[0.6028470469173134, 1.0]","[0.0, 0.41159190108424304]","[0.0, 0.41197559245531135]","[0.0, 0.6205577581616296]","[0.0, 0.8658089969784257]","[0.0, 0.886118751027926]","[0.0, 0.8955677109600555]","[0.0, 0.9152099681471536]","[0.0, 0.9468516229852582]","[0.0, 0.7778437616076976]","[0.0, 0.5832453321940957]","[0.0, 0.5006381845937046]","[0.0, 0.4626086730637914]","[0.0, 0.4377463203335437]","[0.0, 0.4105317474183561]","[0.0, 0.40069777453688726]","[0.0, 0.3875030579503185]","[0.0, 0.36819002104893717]","[0.0, 0.3524321760150716]","[0.0, 0.3400269253121334]","[0.0, 0.3303368454259482]","[0.0, 0.32281228638258286]","[0.0, 0.31705914444976774]","[0.0, 0.3127923134703276]","[0.0, 0.30978737143672347]","[0.0, 0.307895579999031]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,[1],"[0.6842105312696708, 1.0]","[0.0, 0.29588898609162867]","[0.0, 0.7308936356386796]","[0.0, 0.9366969866742917]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.8855983612830421]","[0.0, 0.7222451714816239]","[0.0, 0.6246456451317551]","[0.0, 0.5634948012523471]","[0.0, 0.5634948036612749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,[1],"[0.7362080941898678, 1.0]","[0.0, 0.9725095932321115]","[0.0, 1.0]","[0.0, 0.9062714125677156]","[0.0, 0.6902954016515288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,[1],"[1.5283018917438378, 1.0]","[0.0, 0.7392544441187587]","[0.0, 0.789008289328435]","[0.0, 1.0]","[0.0, 0.9705948738491922]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,[1],"[0.8409361414060976, 1.0]","[0.0, 0.8817322147820029]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9212067722089674]","[0.0, 0.5098754392960716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,[1],"[1.4404497868822614, 1.0]","[0.4532938617341604, 0.8973830416561231]","[0.0, 0.4228526157688844]","[0.0, 0.5324444864809988]","[0.0, 0.49263290952416255]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,[1],"[4.300000004974191, 1.0]","[0.0, 0.27866919436143633]","[0.0, 0.3758793553025982]","[0.0, 0.8280255051403854]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,[1],"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,[1],"[1.679245287970406, 1.0]","[0.0, 0.7574403926990406]","[0.0, 0.8326720987381385]","[0.0, 0.7793356655967109]","[0.0, 0.6941729710165518]","[0.0, 0.9652830628471489]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,[1],"[1.8900499822345938, 1.0]","[0.0, 0.7292816221663677]","[0.0, 0.8083478350837712]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,[1],"[1.1082573469724983, 1.0]","[0.3813211503401856, 0.9440963001285926]","[0.0, 0.5422390644860513]","[0.0, 0.24139302344845356]","[0.0, 0.3123160682408695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,[1],"[2.3745535763802974, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,[1],"[2.5102040865845376, 1.0]","[0.0, 0.8635102261215516]","[0.0, 0.9246103826285074]","[0.0, 0.9729056135451044]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,[1],"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
