"","MME_MU","MME_SIZE"
"0610007P14Rik",27.8900459272489,0.875359690989541
"0610009B22Rik",51.3463074092527,0.866482770866121
"0610031J06Rik",94.579515752326,2.64373555478587
"1110001J03Rik",29.1003737422155,0.87140770186249
"1110004E09Rik",27.380387241817,0.601607310835666
"1110008L16Rik",38.2014515311092,0.979022227578305
"1110012L19Rik",24.913955862182,0.45645806457181
"1110037F02Rik",32.0694802680921,0.73552251676233
"1110038B12Rik",65.2289480718602,1.53165261415386
"1110038F14Rik",31.84177931894,0.739857078653074
"1110059E24Rik",25.6352627183709,0.827250286360912
"1190007I07Rik",20.4499433742596,0.697931860447377
"1300002E11Rik",20.3556377517091,0.56707393991401
"1500012F01Rik",84.0579513385027,0.963221459151455
"1600020E01Rik",18.8626570662982,0.605082400493439
"1700001L05Rik",16.2171284520143,0.278572496251805
"1700019D03Rik",25.3891110107969,0.482830787102182
"1700020I14Rik",26.3105930127504,0.59983812662121
"1700021F05Rik",41.5081774422559,0.949259256545093
"1700037H04Rik",15.6946664340403,0.617860397906107
"1700052N19Rik",18.6041943973637,0.430489521710869
"1700061G19Rik",20.9077473740275,0.282682195054596
"1700123O20Rik",25.4711049250795,0.564277741088699
"1810009A15Rik",183.142761931918,3.32072577914851
"1810013L24Rik",34.1223522508108,0.762935223003873
"1810026J23Rik",22.389305886361,0.442339767365941
"1810030O07Rik",50.8095488089747,1.37300089571292
"1810037I17Rik",253.953270561539,2.78916324148809
"1810043H04Rik",25.4597192558927,0.567377829719287
"1810058I24Rik",68.9907214846816,1.63131265771155
"2010107E04Rik",256.472472871828,3.08418611547609
"2210016F16Rik",65.6810635172809,1.05169337558042
"2210016L21Rik",62.0483477692456,1.53848636530229
"2310011J03Rik",23.427379635756,0.560852516699107
"2310022B05Rik",59.2581432439755,1.07512246136562
"2310039H08Rik",32.0356215412676,0.444183365430107
"2310061I04Rik",15.3754204759734,0.774443362655203
"2410002F23Rik",25.3528641162006,0.673449244991357
"2410004N09Rik",50.2565791867023,1.03697855841179
"2410006H16Rik",108.127728349958,1.4854897876734
"2410015M20Rik",125.630420531687,1.75405207307982
"2410016O06Rik",24.0628208400057,0.749034540486413
"2610001J05Rik",29.261957958893,0.578824824078823
"2610507B11Rik",40.6499799198763,1.10581049383661
"2610524H06Rik",28.4627170944551,0.596186989605638
"2700029M09Rik",18.7693649276787,0.628371913684787
"2700049A03Rik",20.4796962743321,0.633509389124951
"2700097O09Rik",76.5730576075446,1.31705752881114
"2810004N23Rik",64.7122035978245,1.40991455603189
"2810008D09Rik",29.1849769946457,0.47726935076228
"2810025M15Rik",60.6624063972631,1.44375437213795
"2810408M09Rik",27.05875415778,0.472742153182011
"2810428I15Rik",28.2856209706834,0.533820714089259
"2810474O19Rik",119.958941891111,2.88261869961401
"3110082I17Rik",32.2214898023489,0.635313691792429
"4833439L19Rik",29.3949583894143,0.887695112126158
"4930453N24Rik",22.2336903787363,0.419003688327771
