"","MME_MU","MME_SIZE"
"0610007P14Rik",30.1993323054558,0.952599340901259
"0610009B22Rik",45.2016045842626,0.873199435249345
"0610031J06Rik",107.796998585779,2.52102017132675
"1110001J03Rik",28.1720843748169,0.889115707084671
"1110004E09Rik",18.9332057645741,0.26625943508495
"1110008L16Rik",46.1152225039678,0.864678409063536
"1110037F02Rik",32.2990116415871,0.738679609878892
"1110038B12Rik",61.7540516684623,2.79995297700095
"1110038F14Rik",30.8531157152981,1.11482802107579
"1110057K04Rik",19.547148273306,0.387308046897167
"1110058L19Rik",27.433156745302,0.634181391034303
"1110059E24Rik",27.2375408743992,0.548830979199207
"1190007I07Rik",20.3045254806759,0.540381261699843
"1500011B03Rik",37.1983280962079,0.56288941728525
"1500012F01Rik",68.987142293976,0.415102518062363
"1600020E01Rik",21.8021460215952,0.919008070998196
"1700020I14Rik",18.3158728197659,0.382778732520188
"1700021F05Rik",53.5665464938076,1.21146334588169
"1700037H04Rik",28.5601972556763,0.769632950974659
"1700052N19Rik",22.1536084543978,0.497696818945941
"1700061G19Rik",15.5909608915246,0.661459712574513
"1700123O20Rik",29.7238299698853,0.939395542696754
"1810009A15Rik",191.036845900685,3.05582514907772
"1810013L24Rik",34.868945546252,0.542086930888328
"1810037I17Rik",129.578219856829,1.22921914014232
"1810043H04Rik",38.274769501748,0.842411508466926
"1810058I24Rik",91.1643683864309,2.12572467721805
"2010107E04Rik",240.87420773177,5.37392983190862
"2010107G23Rik",16.5442402342812,0.457996941722332
"2210016F16Rik",25.0390539509465,0.492337728307009
"2210016L21Rik",59.5716502055544,1.4280358579157
"2310022B05Rik",29.6175069604023,0.637196957570157
"2410002F23Rik",17.5327867318782,0.601791135256999
"2410004N09Rik",42.8573627360391,1.1279101176585
"2410006H16Rik",127.261907353513,1.24243293884013
"2410015M20Rik",136.452615976138,2.56195194063077
"2410016O06Rik",25.0884494565993,0.817510217905652
"2610001J05Rik",20.6802403917031,0.56888267613457
"2610318N02Rik",21.3130574623223,0.607593829991995
"2610507B11Rik",77.8928743432992,2.09432039489935
"2700029M09Rik",33.9608760487425,0.990279935662994
"2700097O09Rik",69.3653730901349,1.36583269991023
"2700099C18Rik",14.3597765524424,0.327739848231005
"2810004N23Rik",52.9062866823109,0.762167272628648
"2810008D09Rik",24.1078196078358,0.881149874613083
"2810025M15Rik",55.567222284657,1.77852409426141
"2810403A07Rik",19.2036289381857,0.466899564955476
"2810428I15Rik",33.7177430473644,0.814691444211962
"2810474O19Rik",81.3530658623745,1.01238889801483
"3110082I17Rik",69.059973332861,1.24613537876334
"4833420G17Rik",24.2836743781432,0.76158917661536
"4930453N24Rik",15.9710103186602,0.40077163411196
"4933434E20Rik",24.9099471339273,1.3110070544683
"5430416N02Rik",21.8249141688499,0.702798350258394
"5730408K05Rik",18.482564914748,1.10911826581567
"5730455P16Rik",16.1487150018661,0.343751914252797
"5830418K08Rik",37.1625639889901,0.799645783196378
"6030458C11Rik",20.0415174105792,0.826959351091719
"9030624J02Rik",32.9269163141659,0.827030310845472
"9130401M01Rik",109.090128017175,1.77758758894932
"9430015G10Rik",17.9256536189553,0.820258862157228
"9430016H08Rik",27.9448329158601,0.525221370183466
"9430038I01Rik",17.7708880055942,0.511970162514348
"9630033F20Rik",154.02655036728,2.61128589114787
"A230046K03Rik",41.0284285407057,0.713594904893389
"A430005L14Rik",40.5596001075006,0.691911478833872
"A630089N07Rik",16.7633676197567,0.182925140806609
"AI413582",18.0894716294619,0.287023921852272
"AI414108",23.2469344216032,0.315648587126103
"AI462493",67.0602292040762,1.2210424840284
"AK010878",17.9267738085522,3.66133105456471
"AU019823",16.56916273588,0.541573025957212
"AU022252",42.6357805776449,0.781929931645539
"AW549877",56.7085487099104,1.6479857028972
"Aagab",18.0709781138794,0.579897642881773
"Aamp",195.191324883594,4.71142021235732
"Aard",20.692802382658,0.416009354174318
"Aars",153.168032415801,3.34044902876754
"Aarsd1",55.871667322361,1.14990885878549
"Aasdhppt",59.1825087571485,1.31885280023386
"Aatf",32.3227602246474,1.14653415492293
"Abcb10",49.0196482782272,2.17865872871769
"Abcc1",27.8953885911741,0.406667222146448
"Abcc10",17.3465272271368,0.355625127722321
"Abcc3",16.2073666542873,0.88141078897648
"Abcc4",20.4375582373722,0.325380473223495
"Abcc5",47.7968121132285,0.807009164501225
"Abcd4",30.6982358080765,0.182708309569173
"Abce1",54.9613262635052,1.25231424148618
"Abcf1",144.123245926433,0.902890067980527
"Abcf2",61.7435367338377,1.38940371259185
"Abcf3",34.311867356458,0.54842167344303
"Abhd11",24.9956838083879,0.84167438440583
"Abhd4",25.0339131511679,0.521966545172763
"Abhd6",18.2912387938414,0.298728859300384
"Abi1",61.8724330716295,1.61623849134112
"Abl2",33.7126059963775,0.811984279520254
"Ablim1",67.0447266942663,0.991369916126927
"Abr",53.3078957006875,0.897660476808403
"Acaa1a",35.0909936314708,0.74254332105422
"Acad9",18.2890440389289,0.451859444824752
"Acadl",25.9680463749263,0.524024385787113
"Acadm",36.5697640867364,1.00612465783479
"Acads",70.1098955200602,1.2361454857545
"Acat2",61.3190849385755,1.76569266721203
"Acbd6",26.2144220156681,0.581690155808933
"Acd",24.8954691700052,0.613201572778686
"Acin1",180.750017034921,3.64399265126066
"Acly",58.0881103981785,1.15818045991196
"Aco2",43.074883753448,1.38065451510114
"Acot7",22.2440472115394,0.683500545172653
"Acot8",25.2321155100486,0.500447055903072
"Acp6",55.6101977974308,1.33929683010084
"Acsl1",37.3029982328319,0.401217368728521
"Acsl3",27.270691409663,0.602271337885309
"Actl6a",71.8334550996246,1.39616083081434
"Actn1",121.248920286818,1.73671329342496
"Actn4",133.248198328551,1.45627269110352
"Actr10",69.7788097162224,1.2113249130321
"Actr1a",24.1094989253186,0.568505933033096
"Actr1b",22.59354678535,0.42358413820188
"Actr2",48.6338513472721,2.7949401816064
"Actr3",32.2271334286366,1.07157797507035
"Actr6",22.5412729911601,0.534826307095014
"Actr8",27.709694320501,0.743853484047721
"Acvr2b",16.5809727275715,0.356452027158079
"Adam19",20.9988347012341,0.456758727052317
"Adat2",23.303606514022,0.25188169116943
"Add1",24.8576721318958,0.638920120192976
"Adh5",165.521928697345,3.89627775696871
"Adipor1",39.4552312141141,0.924307901994382
"Adipor2",79.4815688692796,0.768200820346099
"Adk",44.3682494633863,0.810020955137796
"Adpgk",19.8942958849092,0.84155718974143
"Adsl",41.3633640438302,0.641612584683239
"Adss",45.5123474471468,0.754788948273708
"Aebp2",17.5707293477551,0.356335732593741
"Aen",29.3941633649216,0.441318962339965
"Aes",63.3646972068003,1.65135443643933
"Aff1",77.5611600064197,0.797252158123267
"Afg3l1",21.5210354575587,0.471001813973968
"Afg3l2",61.0532394236584,1.54791125567978
"Agap1",23.2960697243713,1.38931307354237
"Agfg1",28.7674578723417,0.903923004482118
"Aggf1",42.5564234674321,0.781957906997772
"Agpat2",31.9562370687586,0.616900760424448
"Agpat4",38.421464395416,0.391770431315104
"Agpat5",24.9100628110451,0.538539581036411
"Agpat6",34.4956675611861,0.670015147345047
"Agps",16.7591833648078,0.614006591689957
"Agrn",37.8876656662367,1.0797604095505
"Agtrap",63.9008755289628,0.699189527399572
"Ahctf1",35.1920316364553,0.591882294138432
"Ahnak",81.9352323723204,1.03851841109164
"Aimp1",55.5178641025221,1.58816999921565
"Aimp2",48.8749367565162,0.874112554907831
"Aip",17.4725079228566,0.453285668004263
"Ak2",242.583804052796,4.86559456080313
"Ak4",34.8837416747557,0.754884043922585
"Akap12",174.104130406194,2.35102240458518
"Akap13",17.2779734449893,0.533847368291397
"Akap2",89.0581588174317,1.86066102544535
"Akap8",113.976260900462,2.39128510716996
"Akap9",80.8465225994738,1.36153547822204
"Akirin2",15.6209087649339,0.433570259002057
"Alas1",24.4753445938788,0.76581186108506
"Aldh16a1",24.1679783142891,0.687265808956852
"Aldh18a1",103.203451069174,2.1428468245087
"Aldh2",69.0755223777744,1.50801042914574
"Aldh4a1",34.2572835601457,0.852397884422695
"Aldh7a1",60.5048734769051,1.3654698577908
"Aldh9a1",94.2191844053436,2.04816277338404
"Aldoa",765.151117347489,6.77668339771802
"Alg3",21.6908582615847,0.339890555273942
"Alg6",18.5127836622897,0.371842380754017
"Alkbh1",24.0656293125654,0.753183229790791
"Alkbh2",34.5727508799478,0.734698806447817
"Alkbh3",18.0159100237843,0.499613761561771
"Alkbh5",15.4778502725172,0.559848492254223
"Alkbh6",38.1313272662468,1.03080695493476
"Alpl",82.5127601105105,1.06751104633243
"Amdhd2",67.0849273918138,1.34693405223351
"Ampd2",18.7347263120013,0.572267040299581
"Anapc1",18.3836535969525,0.38053027959912
"Anapc16",39.6561036234016,0.950997049790499
"Anapc2",40.940204964031,1.3389244364201
"Anapc4",30.5914794732575,0.982008182255681
"Anapc5",138.770735016458,3.26057824687637
"Ankhd1",106.514754777088,1.2697509538408
"Ankmy2",19.5570852230938,1.79392272653607
"Ankra2",22.4154266758586,0.540170029502866
"Ankrd10",95.2948786043787,1.28497196187356
"Ankrd11",160.477526361486,1.73044169352668
