"","x"
"317","Commd4"
"318","Commd6"
"319","Commd7"
"320","Commd8"
"321","Comt"
"322","Copa"
"323","Copb1"
"324","Copb2"
"325","Cops2"
"326","Cops4"
"327","Cops5"
"328","Cops7a"
"329","Cops8"
"330","Copz2"
"331","Coq10b"
"332","Coq2"
"333","Coro1b"
"334","Coro1c"
"335","Cox6c"
"336","Cox7a2"
"337","Cox7c"
"338","Cpe"
"339","Cpne1"
"340","Cpne2"
"341","Cpne3"
"342","Cpsf3"
"343","Cr1l"
"344","Creb3"
"345","Cript"
"346","Crk"
"347","Crlf1"
"348","Crtap"
"349","Cryzl1"
"350","Cs"
"351","Csde1"
"352","Csgalnact1"
"353","Csk"
"354","Csnk1d"
"355","Csnk2a2"
"356","Csrp1"
"357","Ctage5"
"358","Ctdsp2"
"359","Ctgf"
"360","Ctnna1"
"361","Ctnnb1"
"362","Ctps"
"363","Ctsa"
"364","Ctsb"
"365","Ctsh"
"366","Ctsl"
"367","Ctsz"
"368","Cttn"
"369","Ctxn1"
"370","Cuedc2"
"371","Cul1"
"372","Cul5"
"373","Cuta"
"374","Cwc15"
"375","Cxcl5"
"376","Cyb5b"
"377","Cyba"
"378","Cyfip1"
"379","Cyp51"
"380","Cyr61"
"381","D15Ertd621e"
"382","D17Wsu104e"
"383","D17Wsu92e"
"384","D19Bwg1357e"
"385","Dap3"
"386","Dbn1"
"387","Dbnl"
"388","Dcaf13"
"389","Dcbld2"
"390","Dctn1"
"391","Dctn2"
"392","Dctn3"
"393","Dctn5"
"394","Dctn6"
"395","Ddah1"
"396","Ddb1"
"397","Ddost"
"398","Ddr1"
"399","Ddr2"
"400","Ddx1"
"401","Ddx17"
"402","Ddx24"
"403","Ddx39"
"404","Ddx46"
"405","Ddx47"
"406","Ddx56"
"407","Dek"
"408","Derl1"
"409","Dhrs3"
"410","Dhrs7"
"411","Dhx30"
"412","Dlat"
"413","Dld"
"414","Dlg1"
"415","Dlg5"
"416","Dlst"
"417","Dnajb11"
"418","Dnajc1"
"419","Dnajc10"
"420","Dnajc19"
"421","Dnajc3"
"422","Dnajc7"
"423","Dnajc8"
"424","Dnlz"
"425","Dnm2"
"426","Dnpep"
"427","Dnttip2"
"428","Dpp3"
"429","Dpy19l1"
"430","Dpy30"
"431","Drap1"
"432","Drg1"
"433","Drg2"
"434","Dscr3"
"435","Dst"
"436","Dstn"
"437","Dtnbp1"
"438","Dtymk"
"439","Dusp1"
"440","Dusp3"
"441","Dync1h1"
"442","Dync1li2"
"443","Dynll2"
"444","E430025E21Rik"
"445","Ebf1"
"446","Ebna1bp2"
"447","Ece1"
"448","Ecm1"
"449","Eef1d"
"450","Eef1e1"
"451","Efemp1"
"452","Efemp2"
"453","Efna5"
"454","Efr3a"
"455","Eftud2"
"456","Ehbp1l1"
"457","Ehd2"
"458","Eid1"
"459","Eif3a"
"460","Eif3b"
"461","Eif3c"
"462","Eif3d"
"463","Eif3e"
"464","Eif3f"
"465","Eif3g"
"466","Eif3h"
"467","Eif3i"
"468","Eif3k"
"469","Eif3l"
"470","Eif4a2"
"471","Eif4a3"
"472","Eif4b"
"473","Eif4e2"
"474","Eif4ebp1"
"475","Eif4g1"
"476","Eif4h"
"477","Eif5"
"478","Eif6"
"479","Elavl1"
"480","Elmo2"
"481","Elovl1"
"482","Elovl5"
"483","Elp2"
"484","Emilin2"
"485","Eml1"
"486","Emp1"
"487","Emp3"
"488","Enc1"
"489","Eno1"
"490","Epb4.1l2"
"491","Epb4.1l3"
"492","Ephx1"
"493","Eprs"
"494","Ercc1"
"495","Ergic1"
"496","Ergic2"
"497","Ergic3"
"498","Eri3"
"499","Erlec1"
"500","Erp29"
"501","Esd"
"502","Esyt1"
"503","Esyt2"
"504","Etf1"
"505","Etfa"
"506","Etfb"
"507","Ewsr1"
"508","Exoc3"
"509","Exoc7"
"510","Exosc1"
"511","Exosc5"
"512","Ext1"
"513","Ext2"
"514","Extl3"
"515","F2r"
"516","F3"
"517","Fabp5"
"518","Fads1"
